City,Total_Businesses,Avg_Rating,No_Website_Count,No_Website_Pct
Jamshedpur,114,4.14,14,12.3
Dhanbad,100,4.14,11,11.0
Bokaro,84,4.26,3,3.6
Hazaribagh,86,4.17,1,1.2
Ranchi,116,4.17,1,0.9
Deoghar,89,4.18,0,0.0
Chatra,56,4.3,0,0.0
Chaibasa,69,4.27,0,0.0
Dumka,92,4.22,0,0.0
Gumla,61,4.24,0,0.0
Godda,64,4.18,0,0.0
Khunti,80,4.33,0,0.0
Giridih,68,4.27,0,0.0
Koderma,72,4.22,0,0.0
Latehar,89,4.29,0,0.0
Medininagar,86,4.24,0,0.0
Lohardaga,60,4.28,0,0.0
Pakur,74,4.18,0,0.0
Ramgarh,63,4.3,0,0.0
Sahibganj,64,4.39,0,0.0
Simdega,63,4.18,0,0.0
