Business_Name,Category,City,Locality,Rating,Parking,Delivery,Phone,Address
Bombay Brew Cafe,Cafe,Jamshedpur,Near Airport,4.6,Limited,Yes,Not Available,"Near Airport, Jamshedpur, Jharkhand"
Brubeck Bakery,Bakery,Jamshedpur,Bistupur,4.5,Limited,Yes,Not Available,"Dcosta Mansion, Main Road, Bistupur, Jamshedpur, Jharkhand"
Chanoya Cafe,Cafe,Jamshedpur,Jamshedpur,4.4,Limited,Yes,Not Available,"Jamshedpur, Jharkhand"
Caramel Patisserie,Bakery,Jamshedpur,Jamshedpur,4.3,Limited,Yes,Not Available,"Jamshedpur, Jharkhand"
28 Downtown Cafe,Cafe,Jamshedpur,Sakchi,4.2,Limited,Yes,-9835111695,"101, Alison's Apartment, Thakur Bari Rd, Ambagan, Sakchi, Jamshedpur, Jharkhand 831001"
Cafe Regal,Restaurant,Jamshedpur,Bistupur,4.2,Limited,Yes,Not Available,"Bistupur, Jamshedpur, Jharkhand 831001"
Bokaro Mall,Shopping Mall,Bokaro,Chira Chas,4.2,Yes,No,Not Available,"Omkar Sadan, Main Rd, Chira Chas, Bokaro Steel City, Jharkhand"
Pool Cafe,Cafe,Jamshedpur,Jamshedpur,4.1,Limited,Yes,Not Available,"Jamshedpur, Jharkhand"
Equinox Restaurant,Restaurant,Jamshedpur,Jamshedpur,4.1,Limited,Yes,Not Available,"Jamshedpur, Jharkhand"
South Indian Cafe,Cafe,Jamshedpur,Bistupur,4.1,Limited,Yes,Not Available,"No. 94, Om Plaza Contractors Area, Road No. 2, Bistupur, Jamshedpur, Jharkhand 831001"
