Business_Name,Category,City,Locality,Address,Latitude,Longitude,Website,Phone,Rating,Opening_Hours,Parking,Delivery,Status,Has_Website,Opportunity_Flag,Rating_Band
Bokaro College 1,College,Bokaro,Main Road,"Main Road, Bokaro, Jharkhand",24.174651,84.179567,https://www.bokarocollege1.com,+91-9249827706,4.6,7AM-9PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Dhanbad Restaurant 2,Restaurant,Dhanbad,Market Area,"Market Area, Dhanbad, Jharkhand",22.647983,85.608075,https://www.dhanbadrestaurant2.com,+91-9702632297,3.8,9AM-8PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Ranchi Jewelry 3,Jewelry,Ranchi,Upper Bazar,"Upper Bazar, Ranchi, Jharkhand",24.367458,85.992558,https://www.ranchijewelry3.com,+91-9465341213,3.9,7AM-9PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Khunti Mobile Store 4,Mobile Store,Khunti,Harmu,"Harmu, Khunti, Jharkhand",22.743563,83.373802,https://www.khuntimobilestore4.com,+91-9593303705,4.3,24 Hours,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Dhanbad Electronics 5,Electronics,Dhanbad,Main Road,"Main Road, Dhanbad, Jharkhand",23.93379,86.292273,https://www.dhanbadelectronics5.com,+91-9185675980,4.8,24 Hours,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Khunti Mobile Store 6,Mobile Store,Khunti,Market Area,"Market Area, Khunti, Jharkhand",23.960526,86.007281,https://www.khuntimobilestore6.com,+91-9833953718,4.5,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Godda Fuel Station 7,Fuel Station,Godda,Bus Stand,"Bus Stand, Godda, Jharkhand",24.91857,85.759999,https://www.goddafuelstation7.com,+91-9698020238,3.8,8AM-10PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Dhanbad Jewelry 8,Jewelry,Dhanbad,Market Area,"Market Area, Dhanbad, Jharkhand",24.689408,85.46872,https://www.dhanbadjewelry8.com,+91-9870854579,4.0,9AM-8PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Deoghar Jewelry 9,Jewelry,Deoghar,Market Area,"Market Area, Deoghar, Jharkhand",24.184967,85.355909,https://www.deogharjewelry9.com,+91-9902099969,4.4,24 Hours,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Dhanbad Salon 10,Salon,Dhanbad,Upper Bazar,"Upper Bazar, Dhanbad, Jharkhand",22.091349,83.638597,https://www.dhanbadsalon10.com,+91-9773715057,3.7,7AM-9PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Simdega Fuel Station 11,Fuel Station,Simdega,Bus Stand,"Bus Stand, Simdega, Jharkhand",24.863235,86.643119,https://www.simdegafuelstation11.com,+91-9112327652,4.5,24 Hours,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Pakur Furniture 12,Furniture,Pakur,Civil Lines,"Civil Lines, Pakur, Jharkhand",23.311171,87.015264,https://www.pakurfurniture12.com,+91-9872751234,3.9,7AM-9PM,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Chatra Gym 13,Gym,Chatra,Market Area,"Market Area, Chatra, Jharkhand",22.408518,86.250043,https://www.chatragym13.com,+91-9679153816,4.9,24 Hours,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Dumka Mobile Store 14,Mobile Store,Dumka,Market Area,"Market Area, Dumka, Jharkhand",22.123775,86.712038,https://www.dumkamobilestore14.com,+91-9184564737,3.6,8AM-10PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Chaibasa Bakery 15,Bakery,Chaibasa,Adityapur,"Adityapur, Chaibasa, Jharkhand",24.567299,84.892552,https://www.chaibasabakery15.com,+91-9327416584,4.9,8AM-10PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Koderma Office 16,Office,Koderma,MG Road,"MG Road, Koderma, Jharkhand",23.2643,85.270303,https://www.kodermaoffice16.com,+91-9229927269,3.9,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Ranchi Clothing 17,Clothing,Ranchi,Station Road,"Station Road, Ranchi, Jharkhand",24.073523,83.435495,https://www.ranchiclothing17.com,+91-9172370545,4.9,8AM-10PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Deoghar Clinic 18,Clinic,Deoghar,Kokar,"Kokar, Deoghar, Jharkhand",24.756543,85.484172,https://www.deogharclinic18.com,+91-9607526654,3.9,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Khunti ATM 19,ATM,Khunti,Bistupur,"Bistupur, Khunti, Jharkhand",23.183307,86.655347,https://www.khuntiatm19.com,+91-9158165865,4.5,7AM-9PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Ramgarh Clothing 20,Clothing,Ramgarh,Market Area,"Market Area, Ramgarh, Jharkhand",23.558857,83.760729,https://www.ramgarhclothing20.com,+91-9297018781,3.9,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Gumla College 21,College,Gumla,Lower Bazar,"Lower Bazar, Gumla, Jharkhand",21.994274,83.573051,https://www.gumlacollege21.com,+91-9909134796,4.8,9AM-8PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Hazaribagh Cafe 22,Cafe,Hazaribagh,Bistupur,"Bistupur, Hazaribagh, Jharkhand",21.956466,84.761687,https://www.hazaribaghcafe22.com,+91-9941889393,4.7,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Jamshedpur Electronics 23,Electronics,Jamshedpur,Harmu,"Harmu, Jamshedpur, Jharkhand",24.157212,83.44383,https://www.jamshedpurelectronics23.com,+91-9436730606,3.6,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Chatra Hotel 24,Hotel,Chatra,Station Road,"Station Road, Chatra, Jharkhand",23.975638,84.140816,https://www.chatrahotel24.com,+91-9228727266,4.9,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Lohardaga Office 25,Office,Lohardaga,Harmu,"Harmu, Lohardaga, Jharkhand",23.518348,86.938825,https://www.lohardagaoffice25.com,+91-9319321646,4.5,24 Hours,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Dumka College 26,College,Dumka,Sakchi,"Sakchi, Dumka, Jharkhand",22.898532,86.207458,https://www.dumkacollege26.com,+91-9177892576,3.5,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Deoghar Jewelry 27,Jewelry,Deoghar,MG Road,"MG Road, Deoghar, Jharkhand",24.592593,86.717081,https://www.deogharjewelry27.com,+91-9496776692,3.9,24 Hours,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Dumka Clinic 28,Clinic,Dumka,Kanke,"Kanke, Dumka, Jharkhand",22.26076,86.712508,https://www.dumkaclinic28.com,+91-9383968123,3.7,8AM-10PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Medininagar Electronics 29,Electronics,Medininagar,Market Area,"Market Area, Medininagar, Jharkhand",24.012491,86.611651,https://www.medininagarelectronics29.com,+91-9642678844,4.2,7AM-9PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Ranchi Cafe 30,Cafe,Ranchi,MG Road,"MG Road, Ranchi, Jharkhand",24.263358,85.748454,https://www.ranchicafe30.com,+91-9381272327,3.7,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Deoghar Hotel 31,Hotel,Deoghar,Adityapur,"Adityapur, Deoghar, Jharkhand",22.058084,84.676864,https://www.deogharhotel31.com,+91-9693269304,3.7,24 Hours,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Giridih Electronics 32,Electronics,Giridih,Kanke,"Kanke, Giridih, Jharkhand",22.258381,86.320465,https://www.giridihelectronics32.com,+91-9536344399,5.0,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Hazaribagh Restaurant 33,Restaurant,Hazaribagh,Kokar,"Kokar, Hazaribagh, Jharkhand",24.723462,86.329546,https://www.hazaribaghrestaurant33.com,+91-9542073642,4.7,24 Hours,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Latehar Cafe 34,Cafe,Latehar,Market Area,"Market Area, Latehar, Jharkhand",22.548718,86.873808,https://www.lateharcafe34.com,+91-9475442872,4.0,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Chaibasa Hardware 35,Hardware,Chaibasa,Lower Bazar,"Lower Bazar, Chaibasa, Jharkhand",22.158262,86.293307,https://www.chaibasahardware35.com,+91-9477040284,4.5,24 Hours,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Lohardaga Bakery 36,Bakery,Lohardaga,Bus Stand,"Bus Stand, Lohardaga, Jharkhand",22.064772,85.586285,https://www.lohardagabakery36.com,+91-9471178705,4.6,7AM-9PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Pakur Cafe 37,Cafe,Pakur,Main Road,"Main Road, Pakur, Jharkhand",23.509761,86.426043,https://www.pakurcafe37.com,+91-9837507241,4.6,8AM-10PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Medininagar Office 38,Office,Medininagar,Harmu,"Harmu, Medininagar, Jharkhand",22.891747,86.592061,https://www.medininagaroffice38.com,+91-9872830248,4.9,9AM-8PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Gumla Furniture 39,Furniture,Gumla,Civil Lines,"Civil Lines, Gumla, Jharkhand",22.52552,85.859718,https://www.gumlafurniture39.com,+91-9507104143,4.5,24 Hours,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Ramgarh Furniture 40,Furniture,Ramgarh,Bistupur,"Bistupur, Ramgarh, Jharkhand",24.307276,85.626646,https://www.ramgarhfurniture40.com,+91-9446012478,4.2,8AM-10PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Dhanbad Bakery 41,Bakery,Dhanbad,Bus Stand,"Bus Stand, Dhanbad, Jharkhand",23.496356,85.731763,https://www.dhanbadbakery41.com,+91-9459905654,3.6,24 Hours,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Jamshedpur Restaurant 42,Restaurant,Jamshedpur,Market Area,"Market Area, Jamshedpur, Jharkhand",24.901808,85.645096,https://www.jamshedpurrestaurant42.com,+91-9925159146,3.6,8AM-10PM,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Giridih Bank 43,Bank,Giridih,Civil Lines,"Civil Lines, Giridih, Jharkhand",23.918174,83.222179,https://www.giridihbank43.com,+91-9906341966,4.8,8AM-10PM,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Giridih Clinic 44,Clinic,Giridih,Lower Bazar,"Lower Bazar, Giridih, Jharkhand",22.314076,83.733356,https://www.giridihclinic44.com,+91-9598906879,4.5,24 Hours,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Hazaribagh Fuel Station 45,Fuel Station,Hazaribagh,Kokar,"Kokar, Hazaribagh, Jharkhand",24.534485,85.000279,https://www.hazaribaghfuelstation45.com,+91-9907214179,3.9,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Dhanbad Fuel Station 46,Fuel Station,Dhanbad,Kokar,"Kokar, Dhanbad, Jharkhand",22.807184,84.28686,https://www.dhanbadfuelstation46.com,+91-9443285529,4.8,8AM-10PM,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Ramgarh Supermarket 47,Supermarket,Ramgarh,Station Road,"Station Road, Ramgarh, Jharkhand",23.194604,84.523526,https://www.ramgarhsupermarket47.com,+91-9600282414,4.1,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Latehar Bank 48,Bank,Latehar,Main Road,"Main Road, Latehar, Jharkhand",24.778225,84.394451,https://www.lateharbank48.com,+91-9518744974,4.8,8AM-10PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Latehar ATM 49,ATM,Latehar,Main Road,"Main Road, Latehar, Jharkhand",23.116572,85.875494,https://www.lateharatm49.com,+91-9956998797,4.1,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Lohardaga Hospital 50,Hospital,Lohardaga,Kanke,"Kanke, Lohardaga, Jharkhand",22.031306,85.770999,https://www.lohardagahospital50.com,+91-9245706210,4.8,24 Hours,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Medininagar Fuel Station 51,Fuel Station,Medininagar,MG Road,"MG Road, Medininagar, Jharkhand",24.233689,84.716505,https://www.medininagarfuelstation51.com,+91-9907464398,4.9,7AM-9PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Jamshedpur Clinic 52,Clinic,Jamshedpur,MG Road,"MG Road, Jamshedpur, Jharkhand",22.622666,83.474473,https://www.jamshedpurclinic52.com,+91-9799816232,3.6,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Latehar Supermarket 53,Supermarket,Latehar,Kanke,"Kanke, Latehar, Jharkhand",22.293168,86.991028,https://www.lateharsupermarket53.com,+91-9599326438,4.5,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Bokaro Furniture 54,Furniture,Bokaro,Harmu,"Harmu, Bokaro, Jharkhand",22.027035,84.447829,https://www.bokarofurniture54.com,+91-9827296111,4.9,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Chatra Furniture 55,Furniture,Chatra,Upper Bazar,"Upper Bazar, Chatra, Jharkhand",22.313165,87.135377,https://www.chatrafurniture55.com,+91-9940348305,3.6,24 Hours,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Latehar ATM 56,ATM,Latehar,Station Road,"Station Road, Latehar, Jharkhand",23.25057,84.648752,https://www.lateharatm56.com,+91-9989817696,4.2,8AM-10PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Latehar Clinic 57,Clinic,Latehar,Sakchi,"Sakchi, Latehar, Jharkhand",23.256723,86.124105,https://www.lateharclinic57.com,+91-9388187517,4.0,24 Hours,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Chatra Hospital 58,Hospital,Chatra,Kanke,"Kanke, Chatra, Jharkhand",23.086968,83.3148,https://www.chatrahospital58.com,+91-9448981305,3.8,24 Hours,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Gumla Jewelry 59,Jewelry,Gumla,Main Road,"Main Road, Gumla, Jharkhand",23.499882,83.964226,https://www.gumlajewelry59.com,+91-9359154084,4.6,8AM-10PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Sahibganj Salon 60,Salon,Sahibganj,Upper Bazar,"Upper Bazar, Sahibganj, Jharkhand",22.00173,84.376942,https://www.sahibganjsalon60.com,+91-9534222401,4.5,24 Hours,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Medininagar Clinic 61,Clinic,Medininagar,MG Road,"MG Road, Medininagar, Jharkhand",24.058565,84.283666,https://www.medininagarclinic61.com,+91-9369942642,3.8,24 Hours,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Latehar Electronics 62,Electronics,Latehar,Bus Stand,"Bus Stand, Latehar, Jharkhand",24.123755,87.106428,https://www.lateharelectronics62.com,+91-9663324548,4.4,24 Hours,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
